,LeftAnkleAngle,LeftAnkleAngle,LeftAnkleAngle,LeftHipAngle,LeftHipAngle,LeftHipAngle,LeftKneeAngle,PelvisAngle,PelvisAngle,PelvisAngle,RightAnkleAngle,RightAnkleAngle,RightAnkleAngle,RightHipAngle,RightHipAngle,RightHipAngle,RightKneeAngle
,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML,ML
,X,Y,Z,X,Y,Z,X,X,Y,Z,X,Y,Z,X,Y,Z,X
0,66.7335200,-6.6471000,-9.2981600,26.2704800,3.7653900,0.1697700,-86.1552600,-76.9374500,24.3397600,-96.2535000,68.4292800,-18.1039200,-11.4221000,34.9661100,-2.3660700,10.1773200,-6.7911300
1,66.7949700,-5.4980300,-10.3024300,26.1250700,3.6692600,-0.9431200,-87.3086700,-77.5432000,24.4304900,-96.3234300,67.8519100,-17.9711500,-10.7702300,36.2459300,-1.2809300,9.8707700,-9.3527000
2,67.0030300,-4.8736200,-10.7196900,26.3882000,3.2271200,-1.4643500,-88.7521400,-78.4192100,24.5860700,-96.4155400,68.0554000,-17.9414800,-9.4385900,37.8122300,0.0971500,9.3090200,-12.9080900
3,67.3352000,-4.6985500,-10.6583000,27.1166300,2.5485600,-1.5532600,-90.4252500,-79.4757300,24.8314300,-96.5765500,69.1438100,-17.9363400,-7.7359200,39.6977200,1.6681200,8.5594900,-17.3687500
4,67.7568600,-4.8725000,-10.2715000,28.3126600,1.7795300,-1.3764500,-92.2289600,-80.5948100,25.1618300,-96.8420100,71.0181300,-17.8713700,-5.9980700,41.8357500,3.2922000,7.7154600,-22.4844200
5,68.2268000,-5.2963800,-9.7159900,29.9275400,1.0588000,-1.0750500,-94.0400500,-81.6607100,25.5488000,-97.2246400,73.4472800,-17.6946300,-4.4397900,44.0584000,4.8265700,6.8615900,-27.8619800
6,68.7062200,-5.8817700,-9.1230300,31.8780500,0.4777100,-0.7481900,-95.7313900,-82.5921600,25.9513600,-97.7091800,76.1783300,-17.4104300,-3.1073200,46.1374500,6.1666700,6.0598600,-33.0490800
7,69.1669300,-6.5502600,-8.5812300,34.0667000,0.0665000,-0.4498900,-97.1900700,-83.3559100,26.3265200,-98.2562400,78.9940600,-17.0742300,-1.9492800,47.8503700,7.2664300,5.3604300,-37.6460200
8,69.5953300,-7.2287400,-8.1283300,36.3978000,-0.1909200,-0.1969100,-98.3274600,-83.9566000,26.6372800,-98.8133800,81.7216300,-16.7637000,-0.9181900,49.0372400,8.1294400,4.8119000,-41.3895600
9,69.9912900,-7.8424900,-7.7561800,38.7892800,-0.3298100,0.0180000,-99.0834900,-84.4151200,26.8590800,-99.3277100,84.2277400,-16.5430100,-0.0143300,49.6283200,8.7814900,4.4498300,-44.1786900
10,70.3622400,-8.3125900,-7.4320800,41.1814400,-0.3787800,0.2130400,-99.4300200,-84.7491100,26.9836200,-99.7543600,86.4170700,-16.4373000,0.7302700,49.6416600,9.2405700,4.2745000,-46.0510200
11,70.7160800,-8.5643900,-7.1253300,43.5390000,-0.3430000,0.4057600,-99.3728500,-84.9617200,27.0180800,-100.0597200,88.2336700,-16.4226600,1.2816100,49.1607400,9.4964600,4.2395800,-47.1370300
12,71.0574600,-8.5464400,-6.8217300,45.8462800,-0.2022500,0.6024000,-98.9504600,-85.0393800,26.9807400,-100.2239400,89.6596800,-16.4324600,1.6223000,48.3041800,9.5088000,4.2606700,-47.6122000
13,71.3869800,-8.2529200,-6.5223200,48.0965100,0.0759700,0.7876800,-98.2277800,-84.9560400,26.8937700,-100.2481200,90.7061800,-16.3822400,1.7590700,47.1923900,9.2263700,4.2474900,-47.6502400
14,71.6978800,-7.7349200,-6.2345900,50.2788200,0.5160400,0.9216400,-97.2841800,-84.6827600,26.7746000,-100.1597300,91.3953400,-16.2066800,1.7191100,45.9132300,8.6172700,4.1476600,-47.3767500
15,71.9735600,-7.0858100,-5.9677400,52.3701200,1.1114400,0.9568100,-96.2031300,-84.2110000,26.6300300,-99.9985800,91.7356300,-15.8921000,1.5319700,44.4966600,7.6970000,3.9692500,-46.8341100
